0.076;0.074;0.073;0.074;0.073;0.08;0.073;0.074;0.073;0.074;0.073;0.072;0.072;0.07;0.149;0.073;0.072;0.079;0.117;0.128;0.239;0.156;0.16;0.166;0.289;0.118;0.104;0.305;0.155;0.13;0.37;0.185;0.022;0.021;0.022;0.022;0.021;0.022;0.022;0.074;0.13;0.114;0.1;0.096;0.094;0.09;0.08;0.079
0.056;0.055;0.055;0.055;0.055;0.055;0.054;0.055;0.055;0.055;0.058;0.04;0.038;0.039;0.035;0.165;0.069;0.075;0.089;0.087;0.087;0.086;0.095;0.098;0.1;0.102;0.094;0.336;0.224;0.134;0.146;0.113;0.1;0.098;0.099;0.115;0.095;0.093;0.131;0.133;0.068;0.124;0.139;0.137;0.117;0.092;0.074;0.073
0.073;0.083;0.073;0.072;0.06;0.065;0.074;0.074;0.074;0.072;0.059;0.055;0.163;0.068;0.067;0.066;0.067;0.066;0.066;0.067;0.066;0.066;0.066;0.066;0.185;0.123;0.124;0.127;0.122;0.124;0.148;0.16;0.373;0.095;0.055;0.054;0.054;0.054;0.053;0.054;0.054;0.053;0.054;0.053;0.054;0.081;0.075;0.075
0.075;0.076;0.076;0.076;0.075;0.076;0.076;0.075;0.076;0.075;0.076;0.075;0.075;0.078;0.146;0.071;0.084;0.09;0.101;0.097;0.094;0.386;0.097;0.222;0.114;0.109;0.103;0.099;0.096;0.092;0.105;0.111;0.13;0.124;0.123;0.123;0.116;0.137;0.112;0.076;0.07;0.118;0.337;0.172;0.136;0.138;0.129;0.131
0.078;0.079;0.078;0.079;0.078;0.079;0.079;0.079;0.079;0.078;0.078;0.077;0.078;0.075;0.076;0.076;0.076;0.081;0.168;0.095;0.096;0.095;0.116;0.216;0.12;0.135;0.125;0.124;0.135;0.31;0.231;0.127;0.124;0.132;0.14;0.126;0.126;0.122;0.122;0.133;0.135;0.141;0.137;0.138;0.143;0.077;0.073;0.073
0.073;0.073;0.074;0.074;0.074;0.083;0.074;0.075;0.074;0.073;0.073;0.073;0.073;0.073;0.183;0.071;0.07;0.07;0.07;0.069;0.095;0.185;0.099;0.096;0.095;0.096;0.115;0.126;0.128;0.122;0.127;0.233;0.123;0.122;0.132;0.114;0.121;0.113;0.109;0.132;0.083;0.125;0.136;0.14;0.145;0.142;0.102;0.094
0.095;0.096;0.099;0.078;0.079;0.078;0.079;0.078;0.079;0.079;0.077;0.16;0.072;0.071;0.072;0.07;0.072;0.07;0.081;0.178;0.107;0.431;0.148;0.1;0.096;0.097;0.094;0.105;0.098;0.096;0.097;0.111;0.118;0.099;0.058;0.059;0.099;0.112;0.112;0.13;0.127;0.239;0.318;0.164;0.165;0.148;0.096;0.09
0.091;0.091;0.092;0.091;0.092;0.091;0.091;0.103;0.074;0.074;0.074;0.074;0.069;0.067;0.067;0.066;0.07;0.184;0.099;0.112;0.113;0.137;0.18;0.17;0.359;0.14;0.125;0.125;0.126;0.126;0.315;0.143;0.073;0.058;0.059;0.058;0.059;0.059;0.072;0.128;0.112;0.111;0.121;0.129;0.143;0.106;0.077;0.078
0.078;0.077;0.077;0.078;0.078;0.078;0.078;0.079;0.087;0.086;0.078;0.079;0.077;0.077;0.077;0.082;0.162;0.085;0.095;0.096;0.12;0.121;0.118;0.124;0.11;0.119;0.116;0.11;0.392;0.134;0.15;0.12;0.053;0.053;0.053;0.054;0.053;0.054;0.053;0.088;0.132;0.128;0.124;0.12;0.106;0.104;0.081;0.08
0.078;0.078;0.079;0.079;0.08;0.08;0.081;0.165;0.079;0.078;0.078;0.076;0.072;0.071;0.07;0.071;0.164;0.104;0.103;0.108;0.101;0.101;0.106;0.104;0.12;0.123;0.122;0.13;0.11;0.117;0.369;0.145;0.153;0.096;0.054;0.053;0.053;0.073;0.142;0.123;0.124;0.15;0.154;0.156;0.119;0.103;0.11;0.079
0.074;0.073;0.074;0.074;0.074;0.075;0.082;0.075;0.074;0.074;0.074;0.074;0.073;0.072;0.072;0.078;0.167;0.102;0.106;0.103;0.111;0.112;0.122;0.125;0.12;0.122;0.123;0.122;0.39;0.144;0.122;0.132;0.118;0.069;0.053;0.053;0.053;0.054;0.053;0.053;0.063;0.137;0.129;0.106;0.107;0.093;0.082;0.083
0.082;0.083;0.082;0.082;0.083;0.083;0.083;0.083;0.083;0.083;0.083;0.081;0.082;0.081;0.179;0.071;0.07;0.07;0.07;0.076;0.096;0.111;0.196;0.102;0.114;0.1;0.096;0.149;0.102;0.096;0.095;0.095;0.094;0.109;0.069;0.057;0.057;0.057;0.057;0.058;0.089;0.116;0.117;0.117;0.117;0.119;0.118;0.099
0.082;0.083;0.083;0.082;0.083;0.082;0.082;0.082;0.082;0.082;0.082;0.082;0.081;0.083;0.084;0.081;0.081;0.173;0.075;0.076;0.075;0.091;0.106;0.112;0.098;0.096;0.119;0.123;0.353;0.146;0.134;0.107;0.097;0.107;0.102;0.105;0.103;0.096;0.097;0.105;0.088;0.116;0.107;0.102;0.106;0.073;0.072;0.072
0.073;0.073;0.074;0.073;0.085;0.073;0.074;0.074;0.075;0.074;0.075;0.073;0.073;0.155;0.067;0.067;0.068;0.096;0.096;0.095;0.18;0.119;0.125;0.115;0.134;0.136;0.127;0.174;0.145;0.13;0.237;0.134;0.125;0.125;0.144;0.145;0.099;0.109;0.123;0.126;0.134;0.125;0.13;0.122;0.093;0.084;0.085;0.084
0.085;0.084;0.084;0.084;0.083;0.083;0.083;0.083;0.085;0.083;0.084;0.082;0.082;0.08;0.08;0.079;0.178;0.1;0.114;0.123;0.224;0.132;0.12;0.122;0.137;0.12;0.122;0.12;0.119;0.119;0.118;0.081;0.052;0.053;0.053;0.053;0.054;0.053;0.053;0.115;0.144;0.15;0.14;0.116;0.1;0.078;0.074;0.075
0.075;0.07;0.095;0.093;0.089;0.087;0.086;0.085;0.084;0.083;0.083;0.082;0.082;0.081;0.081;0.174;0.133;0.129;0.105;0.103;0.173;0.153;0.108;0.101;0.099;0.101;0.106;0.099;0.109;0.1;0.097;0.098;0.079;0.072;0.084;0.122;0.105;0.101;0.409;0.148;0.13;0.138;0.119;0.107;0.103;0.094;0.08;0.08
0.08;0.08;0.081;0.079;0.081;0.08;0.08;0.179;0.082;0.079;0.074;0.074;0.074;0.073;0.073;0.072;0.074;0.115;0.11;0.104;0.11;0.12;0.12;0.122;0.354;0.127;0.122;0.115;0.121;0.131;0.143;1.929;0.111;0.102;0.053;0.054;0.054;0.054;0.054;0.054;0.1;0.127;0.121;0.124;0.123;0.111;0.107;0.106
0.107;0.116;0.107;0.105;0.082;0.083;0.083;0.082;0.082;0.083;0.083;0.082;0.082;0.081;0.085;0.084;0.075;0.076;0.075;0.075;0.076;0.075;0.116;0.19;0.119;0.113;0.102;0.107;0.211;0.113;0.11;0.134;0.144;0.142;0.119;0.065;0.053;0.054;0.053;0.054;0.054;0.092;0.093;0.108;0.114;0.108;0.081;0.075
0.075;0.075;0.076;0.075;0.076;0.076;0.075;0.076;0.076;0.076;0.075;0.075;0.079;0.071;0.081;0.102;0.074;0.054;0.053;0.054;0.071;0.1;0.116;0.123;0.123;0.128;0.174;0.324;0.138;0.119;0.12;0.138;0.123;0.123;0.111;0.106;0.109;0.098;0.123;0.143;0.138;0.115;0.106;0.113;0.106;0.084;0.082;0.083
0.083;0.083;0.083;0.083;0.082;0.082;0.083;0.083;0.083;0.084;0.083;0.082;0.082;0.162;0.091;0.076;0.077;0.112;0.206;0.109;0.097;0.176;0.123;0.142;0.13;0.122;0.125;0.119;0.373;0.114;0.109;0.079;0.085;0.092;0.095;0.104;0.098;0.105;0.104;0.114;0.129;0.156;0.126;0.101;0.098;0.073;0.073;0.073
0.073;0.074;0.072;0.08;0.073;0.073;0.074;0.073;0.074;0.073;0.073;0.073;0.072;0.075;0.159;0.066;0.082;0.149;0.096;0.095;0.095;0.128;0.097;0.183;0.094;0.099;0.099;0.106;0.332;0.134;0.108;0.101;0.1;0.088;0.117;0.109;0.112;0.11;0.059;0.117;0.125;0.119;0.104;0.103;0.104;0.092;0.073;0.074
0.073;0.075;0.074;0.075;0.075;0.075;0.076;0.074;0.075;0.074;0.075;0.084;0.066;0.067;0.15;0.091;0.057;0.053;0.086;0.222;0.112;0.13;0.151;0.181;0.301;0.326;0.109;0.122;0.125;0.124;0.131;0.409;0.067;0.054;0.092;0.112;0.103;0.104;0.103;0.109;0.118;0.121;0.126;0.128;0.087;0.088;0.088;0.079
0.059;0.064;0.08;0.078;0.079;0.078;0.078;0.079;0.077;0.078;0.077;0.078;0.078;0.077;0.077;0.076;0.076;0.078;0.163;0.105;0.106;0.101;0.096;0.096;0.096;0.185;0.1;0.113;0.11;0.097;0.107;0.102;0.101;0.1;0.106;0.098;0.093;0.106;0.102;0.094;0.097;0.125;0.137;0.109;0.107;0.107;0.108;0.106
0.107;0.085;0.083;0.082;0.083;0.083;0.082;0.083;0.083;0.083;0.082;0.081;0.079;0.171;0.071;0.071;0.071;0.079;0.118;0.122;0.132;0.222;0.14;0.336;0.798;0.059;0.059;0.111;0.113;0.118;0.124;0.125;0.115;0.107;0.493;0.507;0.161;0.14;0.156;0.166;0.263;0.168;0.161;0.144;0.125;0.088;0.077;0.076
0.074;0.073;0.073;0.073;0.073;0.086;0.073;0.074;0.074;0.073;0.073;0.073;0.072;0.072;0.071;0.072;0.072;0.17;0.095;0.093;0.149;0.095;0.078;0.131;0.117;0.116;0.35;0.11;0.103;0.098;0.097;0.098;0.097;0.103;0.101;0.105;0.067;0.054;0.053;0.054;0.052;0.08;0.074;0.071;0.07;0.072;0.073;0.072
0.087;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.072;0.073;0.072;0.073;0.072;0.083;0.071;0.07;0.071;0.071;0.07;0.089;0.197;0.102;0.1;0.221;0.119;0.123;0.107;0.122;0.135;0.122;0.122;0.123;0.13;0.125;0.129;0.364;0.145;0.112;0.107;0.102;0.1;0.101;0.116;0.103;0.096;0.073;0.072;0.072
0.073;0.072;0.073;0.073;0.072;0.073;0.073;0.073;0.073;0.074;0.073;0.072;0.071;0.072;0.148;0.067;0.073;0.182;0.104;0.106;0.097;0.097;0.229;0.113;0.105;0.104;0.105;0.109;0.121;0.108;0.105;0.069;0.053;0.053;0.053;0.053;0.053;0.052;0.052;0.078;0.122;0.138;0.123;0.121;0.12;0.121;0.121;0.103
0.096;0.094;0.095;0.096;0.089;0.075;0.075;0.075;0.075;0.074;0.074;0.073;0.074;0.078;0.068;0.067;0.068;0.069;0.067;0.068;0.083;0.191;0.101;0.096;0.103;0.107;0.103;0.1;0.106;0.267;0.106;0.1;0.095;0.09;0.082;0.083;0.082;0.095;0.104;0.09;0.092;0.111;0.106;0.105;0.105;0.105;0.105;0.086
0.081;0.063;0.064;0.063;0.063;0.064;0.063;0.063;0.063;0.063;0.063;0.063;0.072;0.159;0.07;0.07;0.07;0.089;0.199;0.122;0.133;0.154;0.192;0.162;0.393;0.138;0.258;0.514;0.358;0.136;0.12;0.097;0.054;0.052;0.053;0.053;0.052;0.053;0.053;0.052;0.052;0.052;0.13;0.147;0.081;0.081;0.086;0.081
0.082;0.081;0.082;0.081;0.082;0.082;0.082;0.082;0.083;0.083;0.077;0.077;0.075;0.076;0.076;0.075;0.075;0.075;0.086;0.175;0.095;0.094;0.095;0.093;0.145;0.082;0.092;0.183;0.094;0.083;0.082;0.095;0.104;0.275;0.146;0.136;0.108;0.099;0.114;0.111;0.101;0.119;0.125;0.122;0.09;0.079;0.05;0.047
