0.084;0.084;0.069;0.069;0.037;0.037;0.063;0.063;0.086;0.086;0.042;0.042;0.044;0.044;0.055;0.055;0.05;0.05;0.039;0.039;0.057;0.057;0.05;0.05;0.047;0.047;0.257;0.257;0.132;0.132;0.067;0.067;0.051;0.051;0.038;0.038;0.053;0.053;0.055;0.055;0.047;0.047;0.04;0.04;0.055;0.055;0.05;0.05;0.049;0.049;0.044;0.044;0.166;0.166;0.175;0.175;0.051;0.051;0.043;0.043;0.054;0.054;0.057;0.057;0.139;0.139;0.177;0.177;0.094;0.094;0.1;0.1;1.103;1.103;0.438;0.438;0.091;0.091;0.084;0.084;0.199;0.199;0.244;0.244;0.291;0.291;0.342;0.342;0.288;0.288;0.279;0.279;0.21;0.21;0.073;0.073
0.056;0.056;0.055;0.055;0.035;0.035;0.052;0.052;0.054;0.054;0.042;0.042;0.046;0.046;0.07;0.07;0.062;0.062;0.039;0.039;0.057;0.057;0.051;0.051;0.042;0.042;0.053;0.053;0.241;0.241;0.081;0.081;0.072;0.072;0.107;0.107;0.086;0.086;0.062;0.062;0.134;0.134;0.176;0.176;0.214;0.214;0.148;0.148;0.136;0.136;0.14;0.14;0.261;0.261;0.095;0.095;0.09;0.09;0.088;0.088;0.092;0.092;0.083;0.083;0.122;0.122;0.268;0.268;0.191;0.191;0.157;0.157;0.105;0.105;0.08;0.08;0.095;0.095;0.094;0.094;0.091;0.091;0.247;0.247;0.29;0.29;0.288;0.288;0.269;0.269;0.299;0.299;0.271;0.271;0.084;0.084
0.04;0.04;0.056;0.056;0.057;0.057;0.04;0.04;0.049;0.049;0.057;0.057;0.05;0.05;0.039;0.039;0.057;0.057;0.051;0.051;0.046;0.046;0.071;0.071;0.052;0.052;0.06;0.06;0.231;0.231;0.08;0.08;0.114;0.114;0.116;0.116;0.112;0.112;0.084;0.084;0.115;0.115;0.123;0.123;0.17;0.17;0.218;0.218;0.255;0.255;0.096;0.096;0.09;0.09;0.046;0.046;0.042;0.042;0.056;0.056;0.05;0.05;0.046;0.046;0.049;0.049;0.051;0.051;0.054;0.054;0.05;0.05;0.046;0.046;0.056;0.056;0.074;0.074;0.077;0.077;0.111;0.111;0.273;0.273;0.369;0.369;0.338;0.338;0.285;0.285;0.261;0.261;0.223;0.223;0.104;0.104
0.051;0.051;0.036;0.036;0.057;0.057;0.051;0.051;0.037;0.037;0.055;0.055;0.051;0.051;0.044;0.044;0.047;0.047;0.052;0.052;0.053;0.053;0.04;0.04;0.058;0.058;0.208;0.208;0.116;0.116;0.124;0.124;0.099;0.099;0.148;0.148;0.369;0.369;0.127;0.127;0.109;0.109;0.124;0.124;0.038;0.038;0.059;0.059;0.171;0.171;0.079;0.079;0.088;0.088;0.054;0.054;0.052;0.052;0.043;0.043;0.084;0.084;0.09;0.09;0.091;0.091;0.134;0.134;0.217;0.217;0.099;0.099;0.26;0.26;0.084;0.084;0.096;0.096;0.134;0.134;0.179;0.179;0.447;0.447;0.376;0.376;0.368;0.368;0.299;0.299;0.305;0.305;0.292;0.292;0.269;0.269
0.135;0.135;0.074;0.074;0.049;0.049;0.046;0.046;0.052;0.052;0.056;0.056;0.038;0.038;0.051;0.051;0.056;0.056;0.046;0.046;0.045;0.045;0.064;0.064;0.198;0.198;0.138;0.138;0.084;0.084;0.09;0.09;0.068;0.068;0.095;0.095;0.165;0.165;0.191;0.191;0.13;0.13;0.128;0.128;0.1;0.1;0.178;0.178;0.067;0.067;0.084;0.084;0.094;0.094;0.105;0.105;0.069;0.069;0.045;0.045;0.058;0.058;0.052;0.052;0.13;0.13;0.239;0.239;0.256;0.256;0.268;0.268;0.266;0.266;0.257;0.257;0.375;0.375;0.238;0.238;0.263;0.263;0.456;0.456;0.93;0.93;0.524;0.524;0.383;0.383;0.694;0.694;0.275;0.275;0.269;0.269
0.098;0.098;0.072;0.072;0.061;0.061;0.048;0.048;0.041;0.041;0.057;0.057;0.052;0.052;0.052;0.052;0.046;0.046;0.048;0.048;0.052;0.052;0.056;0.056;0.044;0.044;0.117;0.117;0.201;0.201;0.094;0.094;0.084;0.084;0.12;0.12;0.125;0.125;0.126;0.126;0.128;0.128;0.095;0.095;0.149;0.149;0.281;0.281;0.062;0.062;0.207;0.207;0.135;0.135;0.055;0.055;0.065;0.065;0.052;0.052;0.043;0.043;0.171;0.171;0.208;0.208;0.215;0.215;0.245;0.245;0.283;0.283;0.247;0.247;0.253;0.253;0.233;0.233;0.245;0.245;0.25;0.25;0.334;0.334;0.386;0.386;0.34;0.34;0.283;0.283;0.269;0.269;0.22;0.22;0.112;0.112
0.06;0.06;0.052;0.052;0.042;0.042;0.053;0.053;0.053;0.053;0.051;0.051;0.043;0.043;0.053;0.053;0.056;0.056;0.047;0.047;0.047;0.047;0.053;0.053;0.059;0.059;0.098;0.098;0.196;0.196;0.099;0.099;0.234;0.234;0.447;0.447;0.46;0.46;0.189;0.189;0.203;0.203;0.404;0.404;0.115;0.115;0.099;0.099;0.095;0.095;0.094;0.094;0.085;0.085;0.26;0.26;0.324;0.324;0.19;0.19;0.091;0.091;0.128;0.128;0.084;0.084;0.1;0.1;0.097;0.097;0.083;0.083;0.089;0.089;0.151;0.151;0.095;0.095;0.079;0.079;0.097;0.097;0.1;0.1;0.407;0.407;0.294;0.294;0.275;0.275;0.275;0.275;0.263;0.263;0.274;0.274
0.134;0.134;0.079;0.079;0.045;0.045;0.053;0.053;0.054;0.054;0.059;0.059;0.043;0.043;0.049;0.049;0.056;0.056;0.058;0.058;0.04;0.04;0.051;0.051;0.059;0.059;0.058;0.058;0.242;0.242;0.09;0.09;0.09;0.09;0.121;0.121;0.114;0.114;0.072;0.072;0.119;0.119;0.311;0.311;0.086;0.086;0.188;0.188;0.055;0.055;0.088;0.088;0.104;0.104;0.147;0.147;0.149;0.149;0.189;0.189;0.151;0.151;0.156;0.156;0.246;0.246;0.156;0.156;0.224;0.224;0.087;0.087;0.202;0.202;0.103;0.103;0.1;0.1;0.086;0.086;0.138;0.138;0.271;0.271;0.323;0.323;0.309;0.309;0.269;0.269;0.299;0.299;0.15;0.15;0.058;0.058
0.044;0.044;0.06;0.06;0.054;0.054;0.05;0.05;0.046;0.046;0.055;0.055;0.053;0.053;0.049;0.049;0.047;0.047;0.054;0.054;0.061;0.061;0.041;0.041;0.12;0.12;0.197;0.197;0.097;0.097;0.072;0.072;0.146;0.146;0.11;0.11;0.088;0.088;0.115;0.115;0.119;0.119;0.127;0.127;0.134;0.134;0.287;0.287;0.158;0.158;0.134;0.134;0.18;0.18;0.109;0.109;0.055;0.055;0.056;0.056;0.042;0.042;0.391;0.391;0.178;0.178;0.277;0.277;0.362;0.362;0.313;0.313;0.252;0.252;0.235;0.235;0.246;0.246;0.267;0.267;0.247;0.247;0.23;0.23;0.296;0.296;0.31;0.31;0.322;0.322;0.256;0.256;0.29;0.29;0.142;0.142
0.051;0.051;0.042;0.042;0.057;0.057;0.053;0.053;0.047;0.047;0.056;0.056;0.064;0.064;0.058;0.058;0.107;0.107;0.079;0.079;0.055;0.055;0.049;0.049;0.077;0.077;0.229;0.229;0.096;0.096;0.089;0.089;0.11;0.11;0.108;0.108;0.139;0.139;0.107;0.107;0.16;0.16;0.161;0.161;0.282;0.282;0.172;0.172;0.192;0.192;0.102;0.102;0.095;0.095;0.088;0.088;0.086;0.086;0.096;0.096;0.091;0.091;0.077;0.077;0.104;0.104;0.151;0.151;0.2;0.2;0.084;0.084;0.093;0.093;0.092;0.092;0.091;0.091;0.081;0.081;0.146;0.146;0.265;0.265;0.205;0.205;0.284;0.284;0.277;0.277;0.268;0.268;0.194;0.194;0.083;0.083
0.054;0.054;0.046;0.046;0.046;0.046;0.055;0.055;0.052;0.052;0.043;0.043;0.051;0.051;0.051;0.051;0.051;0.051;0.043;0.043;0.054;0.054;0.057;0.057;0.22;0.22;0.091;0.091;0.094;0.094;0.086;0.086;0.089;0.089;0.068;0.068;0.133;0.133;0.112;0.112;0.208;0.208;0.175;0.175;0.085;0.085;0.215;0.215;0.1;0.1;0.09;0.09;0.077;0.077;0.091;0.091;0.092;0.092;0.084;0.084;0.086;0.086;0.09;0.09;0.092;0.092;0.228;0.228;0.275;0.275;0.109;0.109;0.093;0.093;0.103;0.103;0.239;0.239;0.245;0.245;0.245;0.245;0.305;0.305;0.354;0.354;0.349;0.349;0.279;0.279;0.271;0.271;0.262;0.262;0.179;0.179
0.095;0.095;0.055;0.055;0.037;0.037;0.055;0.055;0.054;0.054;0.049;0.049;0.046;0.046;0.054;0.054;0.052;0.052;0.039;0.039;0.057;0.057;0.051;0.051;0.042;0.042;0.053;0.053;0.24;0.24;0.096;0.096;0.082;0.082;0.079;0.079;0.134;0.134;0.203;0.203;0.124;0.124;0.078;0.078;0.096;0.096;0.262;0.262;0.108;0.108;0.141;0.141;0.036;0.036;0.056;0.056;0.108;0.108;0.108;0.108;0.086;0.086;0.057;0.057;0.079;0.079;0.095;0.095;0.237;0.237;0.299;0.299;0.103;0.103;0.08;0.08;0.09;0.09;0.097;0.097;0.138;0.138;0.176;0.176;0.359;0.359;0.745;0.745;0.338;0.338;0.261;0.261;0.192;0.192;0.106;0.106
0.078;0.078;0.059;0.059;0.082;0.082;0.057;0.057;0.047;0.047;0.044;0.044;0.055;0.055;0.051;0.051;0.05;0.05;0.045;0.045;0.052;0.052;0.053;0.053;0.047;0.047;0.047;0.047;0.231;0.231;0.101;0.101;0.08;0.08;0.085;0.085;0.084;0.084;0.113;0.113;0.087;0.087;0.157;0.157;0.166;0.166;0.074;0.074;0.076;0.076;0.244;0.244;0.072;0.072;0.117;0.117;0.054;0.054;0.052;0.052;0.06;0.06;0.079;0.079;0.079;0.079;0.113;0.113;0.361;0.361;0.119;0.119;0.156;0.156;0.154;0.154;0.124;0.124;0.12;0.12;0.226;0.226;0.25;0.25;0.291;0.291;0.324;0.324;0.339;0.339;0.329;0.329;0.274;0.274;0.132;0.132
0.072;0.072;0.06;0.06;0.05;0.05;0.037;0.037;0.058;0.058;0.055;0.055;0.047;0.047;0.044;0.044;0.058;0.058;0.052;0.052;0.044;0.044;0.058;0.058;0.197;0.197;0.115;0.115;0.17;0.17;0.12;0.12;0.078;0.078;0.064;0.064;0.079;0.079;0.092;0.092;0.134;0.134;0.155;0.155;0.088;0.088;0.082;0.082;0.231;0.231;0.332;0.332;0.238;0.238;0.108;0.108;0.105;0.105;0.103;0.103;0.086;0.086;0.083;0.083;0.102;0.102;0.208;0.208;0.09;0.09;0.085;0.085;0.101;0.101;0.097;0.097;0.088;0.088;0.086;0.086;0.115;0.115;0.153;0.153;0.299;0.299;0.297;0.297;0.269;0.269;0.256;0.256;0.118;0.118;0.044;0.044
0.052;0.052;0.057;0.057;0.054;0.054;0.042;0.042;0.055;0.055;0.059;0.059;0.05;0.05;0.046;0.046;0.056;0.056;0.059;0.059;0.041;0.041;0.054;0.054;0.06;0.06;0.255;0.255;0.081;0.081;0.088;0.088;0.14;0.14;0.065;0.065;0.111;0.111;0.145;0.145;0.101;0.101;0.24;0.24;0.121;0.121;0.093;0.093;0.109;0.109;0.082;0.082;0.099;0.099;0.098;0.098;0.084;0.084;0.082;0.082;0.098;0.098;0.44;0.44;0.123;0.123;0.103;0.103;0.249;0.249;0.082;0.082;0.09;0.09;0.102;0.102;0.096;0.096;0.08;0.08;0.109;0.109;0.229;0.229;0.294;0.294;0.261;0.261;0.302;0.302;0.264;0.264;0.095;0.095;0.05;0.05
0.061;0.061;0.057;0.057;0.043;0.043;0.05;0.05;0.061;0.061;0.056;0.056;0.04;0.04;0.056;0.056;0.059;0.059;0.053;0.053;0.043;0.043;0.058;0.058;0.055;0.055;0.228;0.228;0.095;0.095;0.138;0.138;0.065;0.065;0.05;0.05;0.084;0.084;0.137;0.137;0.179;0.179;0.111;0.111;0.098;0.098;0.095;0.095;0.092;0.092;0.083;0.083;0.098;0.098;0.094;0.094;0.084;0.084;0.09;0.09;0.096;0.096;0.442;0.442;0.211;0.211;0.126;0.126;0.108;0.108;0.078;0.078;0.185;0.185;0.097;0.097;0.09;0.09;0.082;0.082;0.109;0.109;0.121;0.121;0.25;0.25;0.274;0.274;0.311;0.311;0.297;0.297;0.091;0.091;0.062;0.062
0.056;0.056;0.045;0.045;0.051;0.051;0.059;0.059;0.052;0.052;0.039;0.039;0.06;0.06;0.057;0.057;0.043;0.043;0.049;0.049;0.063;0.063;0.053;0.053;0.037;0.037;0.066;0.066;0.36;0.36;0.154;0.154;0.096;0.096;0.136;0.136;0.101;0.101;0.128;0.128;0.129;0.129;0.29;0.29;0.095;0.095;0.081;0.081;0.094;0.094;0.098;0.098;0.092;0.092;0.041;0.041;0.061;0.061;0.058;0.058;0.042;0.042;0.059;0.059;0.088;0.088;0.454;0.454;0.096;0.096;0.108;0.108;0.233;0.233;0.086;0.086;0.099;0.099;0.134;0.134;0.263;0.263;0.141;0.141;0.314;0.314;0.288;0.288;0.273;0.273;0.265;0.265;0.15;0.15;0.078;0.078
