0.149;0.149;0.167;0.167;0.116;0.116;0.038;0.038;0.03;0.03;0.022;0.022;0.04;0.04;0.013;0.013;0.04;0.04;0.014;0.014;0.039;0.039;0.016;0.016;0.036;0.036;0.802;0.802;0.85;0.85;0.139;0.139;0.014;0.014;0.04;0.04;0.069;0.069;0.215;0.215;0.163;0.163;0.078;0.078;0.359;0.359;0.165;0.165;0.119;0.119;0.191;0.191;0.216;0.216;0.326;0.326;0.374;0.374;0.313;0.313;0.429;0.429;0.458;0.458;0.282;0.282;0.26;0.26;0.975;0.975;0.84;0.84;0.578;0.578;0.187;0.187;0.201;0.201;0.173;0.173;0.165;0.165;0.268;0.268;0.249;0.249;0.241;0.241;0.254;0.254;0.151;0.151;0.165;0.165;0.141;0.141
0.159;0.159;0.141;0.141;0.145;0.145;0.153;0.153;0.032;0.032;0.04;0.04;0.017;0.017;0.041;0.041;0.017;0.017;0.037;0.037;0.021;0.021;0.032;0.032;0.024;0.024;0.024;0.024;0.175;0.175;0.116;0.116;0.039;0.039;0.157;0.157;0.104;0.104;0.101;0.101;0.11;0.11;0.54;0.54;0.189;0.189;0.153;0.153;0.086;0.086;0.137;0.137;0.124;0.124;0.155;0.155;0.126;0.126;0.165;0.165;0.133;0.133;0.38;0.38;0.24;0.24;0.824;0.824;1.046;1.046;0.885;0.885;0.262;0.262;0.817;0.817;0.62;0.62;0.22;0.22;0.108;0.108;0.151;0.151;0.157;0.157;0.045;0.045;0.086;0.086;0.057;0.057;0.076;0.076;0.067;0.067
0.05;0.05;0.029;0.029;0.036;0.036;0.04;0.04;0.028;0.028;0.156;0.156;0.131;0.131;0.154;0.154;0.308;0.308;0.154;0.154;0.128;0.128;0.152;0.152;0.309;0.309;0.341;0.341;0.169;0.169;0.236;0.236;0.131;0.131;0.15;0.15;0.519;0.519;0.285;0.285;0.222;0.222;0.099;0.099;0.146;0.146;0.017;0.017;0.057;0.057;0.17;0.17;0.177;0.177;0.138;0.138;0.17;0.17;0.139;0.139;0.484;0.484;0.15;0.15;0.634;0.634;0.696;0.696;0.5;0.5;0.173;0.173;0.218;0.218;0.255;0.255;0.211;0.211;0.237;0.237;0.214;0.214;0.185;0.185;0.158;0.158;0.165;0.165;0.152;0.152;0.124;0.124;0.073;0.073;0.022;0.022
0.034;0.034;0.023;0.023;0.031;0.031;0.025;0.025;0.027;0.027;0.029;0.029;0.019;0.019;0.037;0.037;0.014;0.014;0.043;0.043;0.014;0.014;0.042;0.042;0.013;0.013;0.388;0.388;0.174;0.174;0.217;0.217;0.131;0.131;0.169;0.169;0.151;0.151;0.156;0.156;0.052;0.052;0.018;0.018;0.075;0.075;0.072;0.072;0.136;0.136;0.146;0.146;0.403;0.403;0.411;0.411;0.186;0.186;0.144;0.144;0.205;0.205;0.211;0.211;0.276;0.276;0.231;0.231;0.212;0.212;0.373;0.373;0.924;0.924;0.192;0.192;0.335;0.335;0.863;0.863;0.162;0.162;0.19;0.19;0.13;0.13;0.114;0.114;0.179;0.179;0.174;0.174;0.168;0.168;0.07;0.07
0.039;0.039;0.03;0.03;0.048;0.048;0.027;0.027;0.037;0.037;0.047;0.047;0.017;0.017;0.046;0.046;0.03;0.03;0.033;0.033;0.045;0.045;0.017;0.017;0.044;0.044;0.251;0.251;0.272;0.272;0.232;0.232;0.019;0.019;0.105;0.105;0.205;0.205;0.097;0.097;0.15;0.15;0.047;0.047;0.022;0.022;0.107;0.107;0.206;0.206;0.169;0.169;0.115;0.115;0.088;0.088;0.024;0.024;0.422;0.422;0.272;0.272;0.332;0.332;0.201;0.201;0.267;0.267;0.259;0.259;0.251;0.251;0.189;0.189;0.148;0.148;0.273;0.273;0.277;0.277;0.206;0.206;0.158;0.158;0.135;0.135;0.136;0.136;0.166;0.166;0.441;0.441;0.172;0.172;0.149;0.149
0.108;0.108;0.127;0.127;0.046;0.046;0.024;0.024;0.043;0.043;0.034;0.034;0.027;0.027;0.044;0.044;0.025;0.025;0.036;0.036;0.043;0.043;0.018;0.018;0.043;0.043;0.037;0.037;0.024;0.024;0.161;0.161;0.192;0.192;0.254;0.254;0.21;0.21;0.139;0.139;0.025;0.025;0.056;0.056;0.056;0.056;0.135;0.135;0.121;0.121;0.114;0.114;0.123;0.123;0.167;0.167;0.394;0.394;0.346;0.346;0.157;0.157;0.183;0.183;0.148;0.148;0.466;0.466;0.595;0.595;0.78;0.78;0.2;0.2;0.164;0.164;0.169;0.169;0.176;0.176;0.241;0.241;0.442;0.442;0.12;0.12;0.067;0.067;0.052;0.052;0.032;0.032;0.037;0.037;0.064;0.064
0.016;0.016;0.045;0.045;0.038;0.038;0.019;0.019;0.046;0.046;0.019;0.019;0.041;0.041;0.032;0.032;0.026;0.026;0.046;0.046;0.015;0.015;0.043;0.043;0.016;0.016;0.04;0.04;0.032;0.032;0.07;0.07;0.346;0.346;0.197;0.197;0.17;0.17;0.176;0.176;0.075;0.075;0.043;0.043;0.033;0.033;0.06;0.06;0.131;0.131;0.211;0.211;0.083;0.083;0.056;0.056;0.043;0.043;0.119;0.119;0.165;0.165;0.179;0.179;0.48;0.48;1.122;1.122;0.607;0.607;0.691;0.691;0.597;0.597;0.593;0.593;0.163;0.163;0.182;0.182;0.213;0.213;0.115;0.115;0.151;0.151;0.079;0.079;0.081;0.081;0.044;0.044;0.048;0.048;0.031;0.031
0.043;0.043;0.029;0.029;0.042;0.042;0.024;0.024;0.048;0.048;0.021;0.021;0.051;0.051;0.019;0.019;0.052;0.052;0.017;0.017;0.053;0.053;0.017;0.017;0.054;0.054;0.079;0.079;0.181;0.181;0.165;0.165;0.112;0.112;0.104;0.104;0.114;0.114;0.023;0.023;0.067;0.067;0.035;0.035;0.024;0.024;0.048;0.048;0.028;0.028;0.051;0.051;0.035;0.035;0.142;0.142;0.062;0.062;0.078;0.078;0.053;0.053;0.415;0.415;0.236;0.236;0.315;0.315;0.832;0.832;0.962;0.962;0.513;0.513;0.242;0.242;0.209;0.209;0.169;0.169;0.125;0.125;0.147;0.147;0.097;0.097;0.218;0.218;0.17;0.17;0.183;0.183;0.138;0.138;0.156;0.156
0.106;0.106;0.042;0.042;0.033;0.033;0.029;0.029;0.044;0.044;0.021;0.021;0.047;0.047;0.014;0.014;0.046;0.046;0.013;0.013;0.048;0.048;0.013;0.013;0.052;0.052;0.074;0.074;0.219;0.219;0.095;0.095;0.104;0.104;0.497;0.497;0.114;0.114;0.064;0.064;0.051;0.051;0.081;0.081;0.111;0.111;0.055;0.055;0.142;0.142;0.132;0.132;0.042;0.042;0.019;0.019;0.035;0.035;0.028;0.028;0.029;0.029;0.205;0.205;0.224;0.224;0.136;0.136;0.247;0.247;0.386;0.386;0.444;0.444;0.372;0.372;0.184;0.184;0.188;0.188;0.149;0.149;0.119;0.119;0.236;0.236;0.202;0.202;0.208;0.208;0.219;0.219;0.121;0.121;0.036;0.036
0.026;0.026;0.037;0.037;0.015;0.015;0.05;0.05;0.012;0.012;0.052;0.052;0.013;0.013;0.038;0.038;0.302;0.302;0.19;0.19;0.152;0.152;0.159;0.159;0.19;0.19;0.16;0.16;0.347;0.347;0.344;0.344;0.158;0.158;0.437;0.437;0.309;0.309;0.218;0.218;0.089;0.089;0.016;0.016;0.05;0.05;0.015;0.015;0.05;0.05;0.279;0.279;0.169;0.169;0.068;0.068;0.091;0.091;0.029;0.029;0.246;0.246;0.156;0.156;0.197;0.197;0.661;0.661;0.613;0.613;0.638;0.638;0.806;0.806;0.152;0.152;0.199;0.199;0.133;0.133;0.144;0.144;0.134;0.134;0.177;0.177;0.16;0.16;0.098;0.098;0.058;0.058;0.027;0.027;0.053;0.053
