2.257;1.878;1.151;0.564;0.913;1.002;0.316;0.307;1.015;0.389;0.457;0.966;0.302;0.284;0.973;0.549;2.348;2.3369999;2.3169999;3.2279999;3.234;1.771;2.579;2.573;1.393;2.8069999;3.1860001;1.163;1.498;2.7149999;3.654;1.6210001;1.587;0.38;1.2;0.448;0.425;1.031;0.508;0.654;1.485;2.115;2.3150001;4.1360002;2.349;2.622;0.984;0.993
1.538;0.84;0.494;1.064;0.865;0.308;0.913;0.24;0.271;0.968;0.262;0.782;0.427;0.302;0.822;1.066;2.1099999;3.0309999;3.348;2.427;2.4170001;2.727;2.5320001;2.6600001;1.714;1.768;2.4549999;3.1010001;3.3829999;1.1670001;2.677;1.8150001;3.6099999;3.7290001;2.8510001;1.796;3.1259999;2.191;2.2720001;2.1919999;3.0280001;2.4130001;2.4690001;1.474;1.194;1.948;0.908;1.652
0.904;0.82;1.117;0.492;0.861;0.983;0.267;0.273;0.878;0.433;0.267;0.723;0.395;0.28;0.957;0.247;0.394;1.701;2.2309999;2.45;2.767;2.7980001;2.5190001;1.5599999;2.1689999;2.9349999;1.306;1.663;1.376;2.48;1.883;2.25;1.395;1.3559999;1.355;0.592;1.175;0.664;1.09;1.873;1.8099999;2.188;1.563;2.4159999;1.457;1.4529999;1.763;1.528
1.066;1.163;1.173;0.668;0.945;1.141;0.382;0.401;1.1440001;0.49;0.404;1.141;0.384;0.397;1.103;0.578;1.649;1.3380001;2.2869999;2.993;3.0829999;3.115;2.642;2.582;2.526;2.174;2.756;3.017;3.21;3.109;2.2479999;0.968;1.49;0.937;1.802;1.023;1.636;1.191;0.863;1.821;2.2479999;1.837;2.4949999;2.165;2.415;1.921;1.83;2.3840001
1.334;0.791;1.08;0.48;0.85;0.997;0.247;0.435;0.741;0.371;0.901;0.282;0.242;1.941;1.902;1.96;1.867;2.0650001;1.228;2.562;2.6960001;3.497;2.1099999;3.1070001;1.7180001;2.0869999;0.821;2.119;1.205;2.0780001;1.207;1.795;0.362;1.14;0.504;0.376;1.133;0.528;0.653;1.62;1.608;2.714;2.181;2.5009999;1.757;1.8380001;0.975;0.944
1.415;0.985;0.601;1.085;0.833;0.36;0.823;0.307;0.95;0.365;0.293;0.948;0.309;0.306;0.954;0.26;0.446;1.391;0.441;0.619;1.434;0.967;0.939;0.742;1.003;2.2049999;2.0250001;2.1129999;2.0580001;2.1459999;0.952;1.722;0.548;1.2640001;0.434;1.146;0.571;1.653;0.829;1.372;0.802;1.766;1.133;1.4859999;1.773;1.72;2.608;1.744
1.844;1.077;0.569;1.235;0.91;0.401;0.38;0.804;0.367;0.719;0.604;0.279;0.94;0.292;0.355;0.919;0.421;0.612;0.981;0.629;1.184;0.6;1.512;2.0179999;0.756;1.844;2.1429999;1.084;0.816;0.946;0.473;1.238;0.324;0.916;0.289;0.243;0.891;0.37;1.346;0.656;1.334;1.906;1.428;2.579;2.141;2.355;2.359;1.722
1.345;0.854;0.482;1.239;0.81;0.311;0.256;1.118;0.326;0.331;0.287;0.919;0.257;0.329;0.891;0.664;0.873;2.6159999;2.1670001;2.9660001;2.635;3.809;2.158;2.099;2.842;1.103;1.8890001;1.608;2.55;1.321;1.45;0.52;1.398;0.716;1.056;1.556;0.907;1.635;0.803;1.525;1.223;2.04;1.579;2.4070001;1.85;2.0910001;2.02;1.705
1.6900001;2.0669999;0.526;0.499;1.649;0.397;0.312;0.653;0.765;0.437;0.295;1.776;1.651;0.297;1.1;2.026;1.494;0.609;1.671;2.062;1.541;2.079;1.908;2.119;2.1359999;2.9949999;1.524;2.5380001;0.949;2.1029999;1.5420001;1.2690001;0.403;1.2359999;0.423;1.183;0.508;0.391;1.024;0.753;1.646;2.5320001;2.2409999;2.7130001;2.4300001;2.27;2.7030001;2.355
2.1949999;2.3759999;2.2850001;1.844;2.164;1.9809999;1.402;1.074;0.286;0.252;0.946;0.208;0.2;1.643;0.731;1.545;1.874;2.201;2.227;1.7640001;0.952;2.026;1.0549999;1.529;1.171;2.2390001;2.0910001;1.927;1.027;1.8150001;1.0549999;1.897;0.361;0.961;0.393;1.348;1.2869999;1.761;0.373;1.262;0.469;0.877;1.608;1.286;1;1.925;2.0039999;1.893
